id,release_date,movie,production_budget,domestic_gross,worldwide_gross
40,2013-05-24,Fast and Furious 6,,,
41,2014-05-16,Godzilla,,,
42,2011-06-03,X-Men: First Class,,,
43,2008-12-25,The Curious Case of Benjamin Button,,,
44,2010-07-14,The Sorcerer's Apprentice,,,
45,2006-05-12,Poseidon,,,
46,2016-06-10,Warcraft,,,
47,2016-09-30,Deepwater Horizon,,,
48,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,,,
49,2015-07-01,Terminator: Genisys,,,
50,2018-03-23,Pacific Rim: Uprising,,,
51,2004-11-24,Alexander,,,
52,2017-07-14,War for the Planet of the Apes,,,
53,2001-05-25,Pearl Harbor,,,
54,2007-07-02,Transformers,,,
55,2017-06-02,Wonder Woman,,,
56,2013-11-22,Frozen,,,
57,2016-03-04,Zootopia,,,
58,2007-07-11,Harry Potter and the Order of the Phoenix,,,
59,2005-11-18,Harry Potter and the Goblet of Fire,,,
60,2003-05-15,The Matrix Reloaded,,,
61,2007-12-14,I am Legend,,,
62,2016-11-23,Moana,,,
63,2008-07-01,Hancock,,,
64,2005-07-15,Charlie and the Chocolate Factory,,,
65,2007-06-29,Ratatouille,,,
66,2013-11-08,Thor: The Dark World,,,
67,2005-06-15,Batman Begins,,,
68,2015-07-31,Mission: ImpossibleâRogue Nation,,,
69,2017-07-21,Dunkirk,,,
70,2011-05-06,Thor,,,
71,2008-11-07,Madagascar: Escape 2 Africa,,,
72,2009-05-01,X-Men Origins: Wolverine,,,
73,2009-05-22,Night at the Museum: Battle of the Smithsonian,,,
74,2011-05-26,Kung Fu Panda 2,,,
75,2015-05-15,Mad Max: Fury Road,,,
76,2019-05-10,PokÃ©mon: Detective Pikachu,,,
77,2003-11-05,The Matrix Revolutions,,,
78,2018-03-29,Ready Player One,,,
79,2005-11-04,Chicken Little,,,
80,2006-05-05,Mission: Impossible III,,,
81,2009-05-15,Angels & Demons,,,
82,2004-05-14,Troy,,,
83,2010-07-01,The Last Airbender,,,
