id,release_date,movie,production_budget,domestic_gross,worldwide_gross
52,2007-12-25,Aliens vs. Predator - Requiem,,,
53,2007-12-25,The Water Horse: Legend of the Deep,,,
54,2014-07-18,Sex Tape,,,
55,2011-04-15,Scream 4,,,
56,1994-12-21,Ri¢hie Ri¢h,,,
57,2000-08-11,Autumn in New York,,,
58,2011-03-18,Paul,,,
59,2012-12-19,The Guilt Trip,,,
60,2011-08-26,Colombiana,,,
61,1999-02-26,8MM,,,
62,2018-01-12,The Commuter,,,
63,2000-02-18,Hanging Up,,,
64,1991-03-01,The Doors,,,
65,1999-08-20,Mickey Blue Eyes,,,
66,2000-10-20,Pay it Forward,,,
67,2011-04-08,Arthur,,,
68,2008-03-21,Drillbit Taylor,,,
69,2016-12-21,Patriots Day,,,
70,2011-12-25,Extremely Loud and Incredibly Close,,,
71,1994-07-01,The Shadow,,,
72,2008-11-26,Transporter 3,,,
73,2010-11-10,Morning Glory,,,
74,2005-11-09,Get Rich or Die Tryin',,,
75,2019-05-03,Long Shot,,,
76,2000-08-25,The Art of War,,,
77,2013-12-25,Grudge Match,,,
78,2000-08-11,Bless the Child,,,
79,2005-11-23,Rent,,,
80,1999-04-02,The Out-of-Towners,,,
81,2017-08-11,The Nut Job 2: Nutty by Nature,,,
82,1996-08-23,The Island of Dr. Moreau,,,
83,2001-09-07,The Musketeer,,,
84,2017-01-27,Resident Evil: The Final Chapter,,,
85,2008-02-29,The Other Boleyn Girl,,,
86,2017-06-30,The House,,,
87,2001-02-16,Sweet November,,,
88,2007-04-05,The Reaping,,,
89,2011-01-07,Season of the Witch,,,
90,1994-06-03,Renaissance Man,,,
91,1998-05-15,Quest for Camelot,,,
92,2002-09-06,City by the Sea,,,
93,1999-01-15,At First Sight,,,
94,2016-08-26,Mechanic: Resurrection,,,
95,2004-01-16,Torque,,,
96,2009-11-13,Fantastic Mr. Fox,,,
97,1995-09-22,Showgirls,,,
98,1996-02-16,City Hall,,,
99,2012-02-03,Big Miracle,,,
100,2012-12-21,The Impossible,,,
1,2012-03-09,A Thousand Words,,,
2,2006-10-20,Marie Antoinette,,,
3,2000-10-06,Get Carter,,,
4,1995-04-21,Kiss of Death,,,
5,2002-04-26,"Life, or Something Like It",,,
6,1987-05-15,Ishtar,,,
7,1992-02-28,Memoirs of an Invisible Man,,,
8,2009-10-23,Amelia,,,
9,2009-10-23,Cirque du Freak: The Vampire's Assistant,,,
10,2004-05-07,New York Minute,,,
11,1999-03-12,The Deep End of the Ocean,,,
12,2004-11-05,Alfie,,,
13,2002-08-30,FearDotCom,,,
14,2008-11-07,Soul Men,,,
15,2015-03-20,The Gunman,,,
16,1999-08-20,Universal Soldier II: The Return,,,
17,2009-09-25,Pandorum,,,
18,2003-09-26,Duplex,,,
19,2013-08-16,Paranoia,,,
20,1980-08-01,Raise the Titanic,,,
21,2015-07-10,Baahubali: The Beginning,,,
22,2018-03-09,The Hurricane Heist,,,
23,2002-01-04,Impostor,,,
24,2015-11-25,Victor Frankenstein,,,
25,2002-11-27,Extreme Ops,,,
26,2001-04-06,Just Visiting,,,
27,2014-06-27,Snowpiercer,,,
28,2007-07-20,Sunshine,,,
29,1994-03-11,The Hudsucker Proxy,,,
30,2016-11-11,Billy Lynnâs Long Halftime Walk,,,
31,1986-07-01,Pirates,,,
32,2008-12-12,Delgo,,,
33,2007-09-07,The Hunting Party,,,
34,2006-10-13,Alex Rider: Operation Stormbreaker,,,
35,2009-11-20,Red Cliff,,,
36,2004-09-24,The Last Shot,,,
37,2007-03-16,Nomad,,,
38,2013-04-16,Un monstre Ã Paris,,,
39,2019-06-21,Kursk,,,
40,2016-11-11,USS Indianapolis: Men of Courage,,,
41,2014-12-31,Dragon Nest Warriors' Dawn,,,
42,2018-12-31,The Crow,,,
43,2019-09-13,The Goldfinch,,,
44,2019-12-31,Down Under Cover,,,
45,2009-08-14,The Time Traveler's Wife,,,
46,1983-06-17,Superman III,,,
47,2007-02-02,Because I Said So,,,
48,2012-10-05,Frankenweenie,,,
49,1996-03-29,Sgt. Bilko,,,
50,2005-09-30,Serenity,,,
51,2007-09-07,Shoot 'Em Up,,,
52,2004-02-20,Against the Ropes,,,
53,2013-08-23,Yi dai zong shi,,,
54,2001-06-22,The Fast and the Furious,,,
55,2002-09-27,Sweet Home Alabama,,,
56,2009-07-24,The Ugly Truth,,,
57,2002-08-07,Spy Kids 2: The Island of Lost Dreams,,,
58,1994-11-18,Star Trek: Generations,,,
59,2017-06-02,Captain Underpants: The First Epic Movie,,,
60,2015-04-17,Paul Blart: Mall Cop 2,,,
61,1997-12-19,Mouse Hunt,,,
62,2016-12-23,Why Him?,,,
63,2011-04-22,Water for Elephants,,,
64,2010-10-08,Life as We Know It,,,
65,1999-12-29,The Hurricane,,,
66,2013-09-06,Riddick,,,
67,2001-03-23,Heartbreakers,,,
68,2002-05-24,Enough,,,
69,2016-01-22,The 5th Wave,,,
70,2009-02-06,Push,,,
71,2013-09-20,Rush,,,
72,2001-05-18,Angel Eyes,,,
73,2001-12-21,Joe Somebody,,,
74,2000-03-10,The Ninth Gate,,,
75,2017-10-20,Only the Brave,,,
76,1996-09-27,Extreme Measures,,,
77,2011-10-14,The Thing,,,
78,2001-09-07,Rock Star,,,
79,1996-02-02,White Squall,,,
80,2008-10-10,City of Ember,,,
81,1997-10-31,Switchback,,,
82,2018-09-21,The Sisters Brothers,,,
83,2001-11-30,Texas Rangers,,,
84,2008-08-26,Virgin Territory,,,
85,2019-01-11,The Upside,,,
86,2012-05-18,What to Expect When You're Expecting,,,
87,2012-09-14,The Master,,,
88,2008-10-10,The Express,,,
89,2008-11-21,Twilight,,,
90,2013-08-07,We're the Millers,,,
91,2015-11-25,Creed,,,
92,2010-09-17,The Town,,,
93,2011-09-23,Dolphin Tale,,,
94,2018-02-23,Game Night,,,
95,2008-09-12,Burn After Reading,,,
96,2004-04-23,13 Going On 30,,,
97,2008-04-04,Nim's Island,,,
98,2016-02-12,How to be Single,,,
99,2010-02-26,Cop Out,,,
100,2011-01-28,The Rite,,,
1,2008-07-18,Space Chimps,,,
2,1999-12-17,Magnolia,,,
3,2015-05-29,Aloha,,,
4,2009-12-31,Obitaemyy ostrov,,,
5,2018-10-05,A Star is Born,,,
6,2011-02-11,Gnomeo and Juliet,,,
7,2002-02-15,John Q,,,
8,1999-09-17,Blue Streak,,,
9,1983-10-07,Never Say Never Again,,,
10,2010-03-26,Hot Tub Time Machine,,,
11,1997-05-02,Breakdown,,,
12,2014-09-12,Dolphin Tale 2,,,
13,2016-12-16,Collateral Beauty,,,
14,2003-04-04,A Man Apart,,,
15,2000-02-25,Reindeer Games,,,
16,1999-12-24,Snow Falling on Cedars,,,
17,1996-12-20,Ghosts of Mississippi,,,
18,1997-10-24,Gattaca,,,
19,2000-01-28,Isn't She Great,,,
20,2016-01-22,Yip Man 3,,,
21,2011-05-06,There Be Dragons,,,
22,2017-04-14,Queen of the Desert,,,
23,2003-03-28,Head of State,,,
24,2017-09-08,It,,,
25,2009-06-05,The Hangover,,,
26,2009-11-20,The Blind Side,,,
27,1989-06-23,Batman,,,
28,1999-06-10,Austin Powers: The Spy Who Shagged Me,,,
29,2010-12-22,True Grit,,,
30,1992-05-15,Lethal Weapon 3,,,
31,1998-09-18,Rush Hour,,,
32,2013-02-08,Identity Thief,,,
33,2006-06-30,The Devil Wears Prada,,,
34,2011-07-08,Horrible Bosses,,,
35,2001-03-30,Spy Kids,,,
36,2015-07-17,Trainwreck,,,
37,2013-12-13,Saving Mr. Banks,,,
38,1979-12-07,Star Trek: The Motion Picture,,,
39,2008-03-28,21,,,
40,2008-05-09,What Happens in Vegas...,,,
41,1991-11-15,Cape Fear,,,
42,1996-11-15,The English Patient,,,
43,2009-01-16,Hotel for Dogs,,,
44,2005-03-25,Guess Who,,,
45,2012-12-21,This is 40,,,
46,1997-09-19,L.A. Confidential,,,
47,2005-07-29,Sky High,,,
48,1997-09-19,In & Out,,,
49,2010-04-30,A Nightmare on Elm Street,,,
50,2000-08-18,The Cell,,,
51,1995-07-07,Species,,,
52,2006-04-07,The Benchwarmers,,,
53,2010-10-08,Secretariat,,,
54,1998-03-13,The Man in the Iron Mask,,,
55,2011-07-22,Friends with Benefits,,,
56,2016-05-20,Neighbors 2: Sorority Rising,,,
57,2007-03-23,TMNT,,,
58,2003-10-24,Radio,,,
59,2018-06-29,Sicario: Day of the Soldado,,,
60,2009-11-25,Old Dogs,,,
61,1992-11-18,Malcolm X,,,
62,2015-05-22,Poltergeist,,,
63,2018-10-12,Goosebumps 2: Haunted Halloween,,,
64,2018-01-19,12 Strong,,,
65,2009-01-23,Underworld 3: Rise of the Lycans,,,
66,2005-07-29,Must Love Dogs,,,
67,2007-07-03,License to Wed,,,
68,1997-02-28,Donnie Brasco,,,
69,2008-10-17,Max Payne,,,
70,2002-03-15,Resident Evil,,,
71,2004-03-26,The Ladykillers,,,
72,2011-05-06,Something Borrowed,,,
73,2006-12-01,The Nativity Story,,,
74,2011-10-28,In Time,,,
75,2010-04-23,The Back-up Plan,,,
76,2011-11-09,J. Edgar,,,
77,2000-11-17,Bounce,,,
78,2018-08-17,Mile 22,,,
79,2015-05-08,Hot Pursuit,,,
80,2015-12-25,Concussion,,,
81,2017-10-13,The Foreigner,,,
82,2004-12-03,Closer,,,
83,1994-12-23,Street Fighter,,,
84,2001-11-21,Black Knight,,,
85,2005-07-22,The Bad News Bears,,,
86,2002-12-27,The Pianist,,,
87,2005-05-06,House of Wax,,,
88,2001-10-19,From Hell,,,
89,2018-06-01,Adrift,,,
90,2008-08-15,Mirrors,,,
91,2017-01-06,Underworld: Blood Wars,,,
92,2002-02-22,Queen of the Damned,,,
93,2010-08-20,Nanny McPhee and the Big Bang,,,
94,2008-01-25,Untraceable,,,
95,1990-11-21,Predator 2,,,
96,2011-09-23,Abduction,,,
97,1980-12-05,Flash Gordon,,,
98,2008-03-28,Superhero Movie,,,
99,1999-02-12,Blast from the Past,,,
100,2012-10-19,Alex Cross,,,
1,2004-03-26,Jersey Girl,,,
2,1997-11-21,Midnight in the Garden of Good and Evil,,,
3,2016-09-16,Bridget Jonesâs Baby,,,
4,2001-11-09,Heist,,,
5,1992-12-25,Hoffa,,,
6,2016-03-04,Whiskey Tango Foxtrot,,,
7,2004-04-09,Ella Enchanted,,,
8,2015-08-21,Hitman: Agent 47,,,
9,2008-07-25,The X-Files: I Want to Believe,,,
10,2012-08-24,Premium Rush,,,
11,2013-01-18,Broken City,,,
12,2005-08-19,Valiant,,,
13,2000-02-23,Wonder Boys,,,
14,2005-02-25,Cursed,,,
15,2007-12-21,Walk Hard: The Dewey Cox Story,,,
16,2002-09-20,The Four Feathers,,,
17,2010-04-30,Furry Vengeance,,,
18,2013-01-25,Parker,,,
19,2004-09-17,Wimbledon,,,
20,2000-09-15,Bait,,,
21,2000-12-08,Dungeons and Dragons,,,
22,2007-11-09,Lions for Lambs,,,
23,1991-01-18,Flight of the Intruder,,,
24,2011-05-27,The Tree of Life,,,
25,2001-08-17,American Outlaws,,,
26,2006-08-11,Zoom,,,
27,2001-12-25,The Shipping News,,,
28,2009-12-18,The Young Victoria,,,
29,2014-03-28,Sabotage,,,
30,1998-09-04,Knock Off,,,
31,2009-09-11,Whiteout,,,
32,2015-03-06,Unfinished Business,,,
33,2015-09-30,The Walk,,,
34,2006-11-22,The Fountain,,,
35,2013-11-29,Mandela: Long Walk to Freedom,,,
36,2008-12-05,Punisher: War Zone,,,
37,2003-09-05,The Order,,,
38,2006-11-10,A Good Year,,,
39,2016-03-11,The Brothers Grimsby,,,
40,2017-10-20,The Snowman,,,
41,2002-11-06,Femme Fatale,,,
42,1997-05-02,Warriors of Virtue,,,
43,2003-09-26,Luther,,,
44,2011-01-28,Biutiful,,,
45,1992-02-21,Radio Flyer,,,
46,1993-04-16,Bound by Honor,,,
47,2016-04-22,A Hologram for the King,,,
48,1997-02-28,Smilla's Sense of Snow,,,
49,1986-10-03,Playing for Keeps,,,
50,1980-01-01,Lion of the Desert,,,
51,1996-04-19,Le hussard sur le toit,,,
52,1999-11-24,Ride With the Devil,,,
53,2012-09-14,Stolen,,,
54,2011-10-14,Trespass,,,
55,2006-09-22,Bandidas,,,
56,2015-03-13,The Lovers,,,
57,2008-12-31,Black Water Transit,,,
58,2011-12-25,The Darkest Hour,,,
59,2017-06-28,Baby Driver,,,
60,2014-09-19,The Maze Runner,,,
61,2015-04-10,The Longest Ride,,,
62,1993-09-17,The Age of Innocence,,,
63,2009-08-14,Gake no ue no Ponyo,,,
64,2018-08-03,The Darkest Minds,,,
65,1999-09-01,Chill Factor,,,
66,1999-08-27,The Astronaut's Wife,,,
67,2000-05-05,I Dreamed of Africa,,,
68,2014-09-05,Thunder and the House of Magic,,,
69,1981-12-04,Reds,,,
70,1992-12-11,A Few Good Men,,,
71,2000-06-02,Big Momma's House,,,
72,2001-03-16,Exit Wounds,,,
73,2016-07-08,Mike and Dave Need Wedding Dates,,,
74,2012-07-27,Step Up Revolution,,,
75,2006-08-18,Snakes on a Plane,,,
76,2004-04-16,The Punisher,,,
77,2000-09-08,The Watcher,,,
78,2012-04-27,Safe,,,
79,2008-03-14,Doomsday,,,
80,1999-04-23,Pushing Tin,,,
81,2006-05-12,Goal! The Dream Begins,,,
82,2015-07-31,The Young and Prodigious T.S. Spivet,,,
83,2015-10-30,Freaks of Nature,,,
84,1983-05-25,Star Wars Ep. VI: Return of the Jedi,,,
85,2011-05-13,Bridesmaids,,,
86,2008-12-10,The Reader,,,
87,2013-04-26,The Big Wedding,,,
88,2012-02-24,Wanderlust,,,
89,2003-11-07,Elf,,,
90,1996-07-05,Phenomenon,,,
91,2013-06-12,This is the End,,,
92,2002-01-18,Snow Dogs,,,
93,2006-06-16,Nacho Libre,,,
94,1988-11-23,Scrooged,,,
95,2010-08-27,Takers,,,
96,2011-04-01,Source Code,,,
97,1999-09-10,Stigmata,,,
98,2000-11-10,Men of Honor,,,
99,2018-04-20,I Feel Pretty,,,
100,2005-09-02,The Transporter 2,,,
1,2011-02-18,"Big Mommas: Like Father, Like Son",,,
2,1993-01-15,Alive,,,
3,2007-02-23,The Number 23,,,
4,1979-12-14,1941,,,
5,2005-10-21,Dreamer: Inspired by a True Story,,,
6,2005-09-23,A History of Violence,,,
7,2013-03-15,The Incredible Burt Wonderstone,,,
8,1995-02-10,The Quick and the Dead,,,
9,2004-04-30,Laws of Attraction,,,
10,2018-10-12,Bad Times at the El Royale,,,
11,2010-09-03,Going the Distance,,,
12,1999-10-22,Bringing Out The Dead,,,
13,2010-03-19,Repo Men,,,
14,2007-09-14,Dragon Wars: D-War,,,
15,1996-09-06,Bogus,,,
16,1997-03-26,Cats Don't Dance,,,
17,1999-12-08,Cradle Will Rock,,,
18,2006-12-15,The Good German,,,
19,2004-12-31,George and the Dragon,,,
20,1979-08-15,Apocalypse Now,,,
21,2016-04-15,Criminal,,,
22,2013-04-12,42,,,
23,2012-11-02,Flight,,,
24,1995-12-29,Mr. Hollandâs Opus,,,
25,1985-12-18,Out of Africa,,,
26,1979-06-29,Moonraker,,,
27,2014-03-07,The Grand Budapest Hotel,,,
28,2015-07-29,Vacation,,,
29,1990-07-18,Arachnophobia,,,
30,2019-02-13,Isnât it Romantic,,,
31,2000-04-28,Frequency,,,
32,2001-09-28,Hearts in Atlantis,,,
33,2010-01-22,Extraordinary Measures,,,
34,2017-08-25,Birth of the Dragon,,,
35,1995-10-20,Get Shorty,,,
36,1984-06-08,Ghostbusters,,,
37,1995-11-22,Toy Story,,,
38,2018-08-15,Crazy Rich Asians,,,
39,2002-12-27,Chicago,,,
40,1999-06-25,Big Daddy,,,
41,2001-08-10,American Pie 2,,,
42,2012-02-10,The Vow,,,
43,1994-06-10,Speed,,,
44,1990-03-02,The Hunt for Red October,,,
45,2013-08-16,Lee Daniels' The Butler,,,
46,2000-09-29,Remember the Titans,,,
47,2009-08-14,District 9,,,
48,2004-06-18,Dodgeball: A True Underdog Story,,,
49,1991-11-22,The Addams Family,,,
50,1995-11-10,Ace Ventura: When Nature Calls,,,
51,2001-08-03,The Princess Diaries,,,
52,1999-03-05,Analyze This,,,
53,1996-09-20,The First Wives Club,,,
54,2004-12-15,Million Dollar Baby,,,
55,1995-09-22,Se7en,,,
56,2003-10-08,Mystic River,,,
57,2015-12-18,Sisters,,,
58,1999-11-10,Pokemon: The First Movie,,,
59,2004-11-19,SpongeBob SquarePants: The Movie,,,
60,2009-12-04,Up in the Air,,,
61,2004-06-25,The Notebook,,,
62,2009-04-10,Hannah Montana the Movie,,,
63,2008-01-18,27 Dresses,,,
64,2000-11-17,Rugrats in Paris,,,
65,2017-08-18,The Hitmanâs Bodyguard,,,
66,1991-12-25,The Prince of Tides,,,
67,2005-08-12,Four Brothers,,,
68,1994-12-23,Legends of the Fall,,,
69,2012-09-28,Looper,,,
70,2013-02-01,Warm Bodies,,,
71,2002-12-13,About Schmidt,,,
72,2014-01-17,The Nut Job,,,
73,2001-02-16,Down to Earth,,,
74,1995-08-04,Babe,,,
75,2012-08-08,Hope Springs,,,
76,2008-04-18,Forgetting Sarah Marshall,,,
77,2004-10-08,Friday Night Lights,,,
78,1989-11-17,Harlem Nights,,,
79,2008-04-25,Baby Mama,,,
80,1998-05-29,Hope Floats,,,
81,2009-01-09,Bride Wars,,,
82,2004-08-20,Without a Paddle,,,
83,2011-05-20,Midnight in Paris,,,
84,2017-11-22,Darkest Hour,,,
85,2005-10-05,Wallace & Gromit: The Curse of the Were-Rabbit,,,
86,2007-12-21,P.S. I Love You,,,
87,2005-09-23,Corpse Bride,,,
88,2018-05-11,Life of the Party,,,
89,2010-05-14,Letters to Juliet,,,
90,2001-04-06,Blow,,,
91,1999-02-12,Message in a Bottle,,,
92,2015-07-24,Southpaw,,,
93,1989-06-09,Star Trek V: The Final Frontier,,,
94,2017-07-28,Atomic Blonde,,,
95,2002-07-03,Like Mike,,,
96,1994-03-18,Naked Gun 33 1/3: The Final Insult,,,
97,2007-12-07,Atonement,,,
98,1985-05-24,A View to a Kill,,,
99,2005-01-14,Racing Stripes,,,
100,2015-09-18,Sicario,,,
1,1989-09-22,Black Rain,,,
2,1987-06-26,Full Metal Jacket,,,
3,2018-01-19,Den of Thieves,,,
4,2012-04-13,The Three Stooges,,,
5,2000-07-21,Pokemon 2000,,,
6,2014-10-24,John Wick,,,
7,2006-01-13,Glory Road,,,
8,2015-04-24,The Age of Adaline,,,
9,2010-08-06,Step Up 3D,,,
10,2009-05-29,Drag Me To Hell,,,
11,2012-04-13,The Cabin in the Woods,,,
12,2003-09-19,Secondhand Lions,,,
13,2006-11-10,Stranger Than Fiction,,,
14,2011-04-08,Hanna,,,
15,2002-08-16,Blue Crush,,,
16,2007-10-19,30 Days of Night,,,
17,1986-12-19,Little Shop of Horrors,,,
18,2006-09-15,Gridiron Gang,,,
19,1988-07-20,Midnight Run,,,
20,2008-01-25,Meet the Spartans,,,
21,1987-11-13,The Running Man,,,
22,2013-09-13,The Family,,,
23,2018-02-09,The 15:17 to Paris,,,
24,1997-11-21,Mortal Kombat: Annihilation,,,
25,2011-07-01,Larry Crowne,,,
26,2013-10-18,Carrie,,,
27,2006-04-07,Take the Lead,,,
28,2018-03-02,Death Wish,,,
29,2010-11-24,Love and Other Drugs,,,
30,2015-06-03,Entourage,,,
31,2001-06-01,What's the Worst That Could Happen?,,,
32,2013-02-08,Side Effects,,,
33,2009-09-09,9,,,
34,2014-07-02,Deliver Us from Evil,,,
35,2014-08-01,Get on Up,,,
36,2017-12-25,Mollyâs Game,,,
37,2012-04-27,The Five-Year Engagement,,,
38,2004-04-02,The Prince & Me,,,
39,2011-07-15,Winnie the Pooh,,,
40,1998-05-15,Bulworth,,,
41,2003-06-13,Dumb and Dumberer: When Harry Met Lloyd,,,
42,2018-09-14,White Boy Rick,,,
43,1995-08-04,Virtuosity,,,
44,1998-09-18,One True Thing,,,
45,2011-02-04,Sanctum,,,
46,2006-07-21,My Super Ex-Girlfriend,,,
47,2017-08-25,Ballerina,,,
48,2004-09-17,Mr. 3000,,,
49,2010-11-19,The Next Three Days,,,
50,2018-01-12,Proud Mary,,,
51,2004-08-06,Little Black Book,,,
52,2005-01-19,Assault On Precinct 13,,,
53,2013-10-04,Runner Runner,,,
54,1998-02-06,The Replacement Killers,,,
55,2017-04-28,Baahubali 2: The Conclusion,,,
56,2006-03-03,Ultraviolet,,,
57,2005-10-21,North Country,,,
58,2011-08-19,Fright Night,,,
59,2017-09-15,mother!,,,
60,2015-10-09,Steve Jobs,,,
61,2002-07-17,Eight Legged Freaks,,,
62,1996-07-19,Fled,,,
63,2010-06-04,Splice,,,
64,2008-04-18,88 Minutes,,,
65,2004-04-09,The Whole Ten Yards,,,
66,1986-08-01,Howard the Duck,,,
67,2008-10-24,Pride and Glory,,,
68,2005-08-26,The Cave,,,
69,2004-04-30,Godsend,,,
70,2003-06-20,Alex & Emma,,,
71,2004-09-03,Wicker Park,,,
72,2005-12-25,The New World,,,
73,2007-06-29,Evening,,,
74,2013-01-18,The Last Stand,,,
75,1999-01-15,In Dreams,,,
76,1999-03-12,Wing Commander,,,
77,2001-01-12,Antitrust,,,
78,2013-03-08,Dead Man Down,,,
79,2011-04-29,Hoodwinked Too: Hood vs. Evil,,,
80,2009-04-10,Dragonball Evolution,,,
81,2004-09-24,First Daughter,,,
82,2017-04-14,The Lost City of Z,,,
83,2005-09-09,An Unfinished Life,,,
84,2017-02-03,The Space Between Us,,,
85,2009-12-25,The Imaginarium of Doctor Parnassus,,,
86,2011-01-14,Barney's Version,,,
87,2002-09-20,Trapped,,,
88,2018-08-31,Kin,,,
89,1984-06-01,Once Upon a Time in America,,,
90,2017-09-22,Stronger,,,
91,1999-01-22,Gloria,,,
92,2007-09-21,The Assassination of Jesse James by the Coward Robert Ford,,,
93,2004-12-29,The Merchant of Venice,,,
94,2003-04-02,The Good Thief,,,
95,2005-08-17,Supercross,,,
96,2006-12-29,Miss Potter,,,
97,2006-05-05,Wu ji,,,
98,2019-06-14,Shaft,,,
99,2011-09-23,Machine Gun Preacher,,,
100,2018-02-02,Bilal: A New Breed of Hero,,,
1,2007-06-15,DOA: Dead or Alive,,,
2,2010-02-19,Le Petit Nicolas,,,
3,2011-10-07,Xinhai geming,,,
4,2008-02-21,Genghis Khan: To the Ends of the Earth and Sea,,,
5,2015-01-30,Wild Card,,,
6,2015-06-05,United Passions,,,
7,2010-12-31,Konferenz der Tiere,,,
8,2015-12-01,Grace of Monaco,,,
9,2016-03-08,Savva. Serdtse voyna,,,
10,2007-12-14,Goodbye Bafana,,,
11,2013-12-31,Space Pirate Captain Harlock,,,
12,2003-12-31,Ripley's Game,,,
13,2017-02-24,Collide,,,
14,2015-05-15,Pitch Perfect 2,,,
15,2005-11-18,Walk the Line,,,
16,2018-09-28,Night School,,,
17,2016-04-08,The Boss,,,
18,1995-12-27,12 Monkeys,,,
19,2003-09-12,Once Upon a Time in Mexico,,,
20,2000-04-14,Keeping the Faith,,,
21,2017-08-18,Logan Lucky,,,
22,2016-08-12,Florence Foster Jenkins,,,
23,1998-02-13,The Borrowers,,,
24,2008-12-05,Frost/Nixon,,,
25,2004-11-12,Seed of Chucky,,,
26,2002-08-23,Serving Sara,,,
27,2002-12-31,Confessions of a Dangerous Mind,,,
28,2009-08-26,Taking Woodstock,,,
29,1987-11-06,Cry Freedom,,,
30,2019-09-30,Unhinged,,,
31,1999-09-24,Mumford,,,
32,2005-03-04,The Jacket,,,
33,1992-11-11,Aladdin,,,
34,1984-05-23,Indiana Jones and the Temple of Doom,,,
35,2015-08-14,Straight Outta Compton,,,
36,2017-07-21,Girls Trip,,,
37,1998-11-20,The Rugrats Movie,,,
38,1988-07-15,Die Hard,,,
39,2001-04-06,Along Came a Spider,,,
40,2017-11-01,A Bad Moms Christmas,,,
41,2013-02-14,Safe Haven,,,
42,2015-12-11,The Big Short,,,
43,2008-11-07,Role Models,,,
44,2014-10-10,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",,,
45,2004-02-06,Miracle,,,
46,2013-01-28,Last Vegas,,,
47,2001-01-26,The Wedding Planner,,,
48,2004-03-19,Dawn of the Dead,,,
49,1981-06-26,For Your Eyes Only,,,
50,2018-06-15,Tag,,,
51,2001-12-14,The Royal Tenenbaums,,,
52,2003-04-25,Identity,,,
53,2001-10-05,Serendipity,,,
54,2010-04-16,Kick-Ass,,,
55,2001-09-28,Zoolander,,,
56,1994-09-16,Timecop,,,
57,2007-07-27,No Reservations,,,
58,1993-07-16,Hocus Pocus,,,
59,2005-11-11,Pride & Prejudice,,,
60,2011-08-12,30 Minutes or Less,,,
61,2000-12-22,Dracula 2000,,,
62,1982-06-25,Blade Runner,,,
63,1995-04-07,Rob Roy,,,
64,2014-02-21,3 Days to Kill,,,
65,2013-08-16,Kick-Ass 2,,,
66,2007-10-12,We Own the Night,,,
67,2014-09-19,A Walk Among the Tombstones,,,
68,2010-01-15,The Spy Next Door,,,
69,2014-04-25,Brick Mansions,,,
70,2006-05-12,Just My Luck,,,
71,2000-10-13,Lost Souls,,,
72,2015-08-21,American Ultra,,,
73,2003-04-18,Winged Migration,,,
74,2016-02-05,Pride and Prejudice and Zombies,,,
75,1999-10-01,"Mystery, Alaska",,,
76,2001-08-24,John Carpenterâs Ghosts of Mars,,,
77,1997-07-11,A Simple Wish,,,
78,2015-10-30,Our Brand is Crisis,,,
79,1997-12-25,Kundun,,,
80,2008-10-03,How to Lose Friends & Alienate People,,,
81,2007-12-31,Alatriste,,,
82,2007-06-01,Knocked Up,,,
83,1983-06-10,Octopussy,,,
84,2009-06-26,My Sister's Keeper,,,
85,2008-02-08,Welcome Home Roscoe Jenkins,,,
86,2012-01-13,Joyful Noise,,,
87,1984-12-14,A Passage to India,,,
88,2006-12-25,Notes on a Scandal,,,
89,2007-10-19,Rendition,,,
90,2011-10-28,Anonymous,,,
91,2011-03-18,Limitless,,,
92,1991-12-06,Star Trek VI: The Undiscovered Country,,,
93,2002-06-07,The Divine Secrets of the Ya-Ya Sisterhood,,,
94,1997-10-03,Kiss the Girls,,,
95,1980-06-20,The Blues Brothers,,,
96,1994-12-25,The Jungle Book,,,
97,2008-08-06,The Sisterhood of the Traveling Pants 2,,,
98,2016-05-13,Money Monster,,,
99,2002-05-17,About a Boy,,,
100,2011-08-19,Spy Kids: All the Time in the World,,,
1,1999-07-16,Lake Placid,,,
2,2006-04-07,Lucky Number Slevin,,,
3,1983-10-21,The Right Stuff,,,
4,1984-07-20,Die Unendliche Geschichte,,,
5,1998-02-27,Dark City,,,
6,2008-09-19,The Duchess,,,
7,2010-10-01,Case 39,,,
8,2005-06-10,The Honeymooners,,,
9,1985-06-21,Return to Oz,,,
10,1998-03-27,The Newton Boys,,,
11,2004-08-27,Suspect Zero,,,
12,2007-11-02,Martian Child,,,
13,2002-10-18,Formula 51,,,
14,1999-11-24,Flawless,,,
15,2005-05-13,Mindhunters,,,
16,2008-10-17,What Just Happened,,,
17,2003-12-12,The Statement,,,
18,2006-12-31,The Magic Flute,,,
19,2016-11-23,Rules Donât Apply,,,
20,2009-01-16,Paul Blart: Mall Cop,,,
21,2003-08-06,Freaky Friday,,,
22,2005-08-19,The 40 Year-old Virgin,,,
23,1998-12-11,Shakespeare in Love,,,
24,1990-12-21,Kindergarten Cop,,,
25,2008-08-06,Pineapple Express,,,
26,1993-12-22,Philadelphia,,,
27,1998-07-31,Ever After: A Cinderella Story,,,
28,1990-08-10,Flatliners,,,
29,2003-08-15,Open Range,,,
30,2005-08-19,Red Eye,,,
31,2011-12-09,New Yearâs Eve,,,
32,1977-06-15,A Bridge Too Far,,,
33,2013-04-26,Pain & Gain,,,
34,2003-01-31,Final Destination 2,,,
35,2000-12-22,"O Brother, Where Art Thou?",,,
